,files,agency_name,provision
10,108-584 H.txt,    For the Office of Civil Rights,"    For the Office of Civil Rights, the Committee recommends an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committee recommendation includes an increase of  as requested, for tracking applications and analysis. This includes development of the business case for a Civil Rights Enterprise System, maintenance and contract support, westlaw/personet, software license, and replacement computers to increase percent efficiency and cost effectiveness of EEO and Program complaint processing."
11,108-584 H.txt,    For the Office of the Assistant Secretary for Administration,"    For the Office of the Assistant Secretary for Administration, the Committee provides an appropriation of  the same as the amount available for fiscal year  and a decrease of  below the budget request."
12,108-584 H.txt,    For Agriculture Buildings and Facilities and Rental Payments to GSA,"    For Agriculture Buildings and Facilities and Rental Payments to GSA, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    Included in this amount is  for rental payments to GSA.    The Committee recommendation includes an increase of  for building operations and maintenance for costs related to: the Fair Labor Standards Act and collective bargaining; major repairs and improvements to headquarters; homeland security requirements; and physical security, occupational safety, and environmental protection compliance.    The Committee recommendation also includes an increase of  for the Strategic Space Plan.    The following table represents the Committee's specific recommendations for this account:"
13,108-584 H.txt,    For Hazardous Materials Management,"    For Hazardous Materials Management, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and the same amount as the budget request."
14,108-584 H.txt,    For Departmental Administration,"    For Departmental Administration, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.     Office of the Assistant Secretary for Congressional Relations    appropriation...................................."
15,108-584 H.txt,    For the Office of the Assistant Secretary for Congressional Relations,"    For the Office of the Assistant Secretary for Congressional Relations, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    Within  days from the enactment of this Act, the Secretary shall notify the House and Senate Committees on Appropriations on the allocation of these funds by USDA agency, along with an explanation for the agency-by-agency distribution of the funds."
16,108-584 H.txt,    For the Office of Communications,"    For the Office of Communications, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committees direct the Office to continue to provide them with copies of open source news material made available to USDA officials through the use of appropriated funds."
17,108-584 H.txt,    For the Office of Inspector General,"    For the Office of Inspector General, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year , and the same as the budget request.    The Committee directs the Inspector General to send all audit reports and other findings concerning the Forest Service directly to the Subcommittee on Interior and Related Agencies of the Committee on Appropriations at the same time they are sent to the agency for comment. The Committee also encourages the Inspector General to do more investigations of the Forest Service, as it is the single largest agency in the Department of Agriculture and has a continual history of various management difficulties and fiscal challenges.    BSE and food safety reports requested by the Committee.--The Committee has not received two reports that the Inspector General (``IG'') said at the budget hearing that she would provide: () regular updates on the status of her investigation into the recent BSE incident in Washington state; and () the report on food safety problems in  at the Wampler plant in Pennsylvania, which the IG said in March was ``relatively close'' to release. The Committee directs the Inspector General by July , , to provide the information requested by the Committee or give the Committee a firm date on which the information will be provided.     Failure to test cow for BSE.--The Committee requests a report on the investigation into the failure of USDA to perform a test on a cow in Texas that was manifesting central nervous system symptoms, as soon as the investigation is completed."
18,108-584 H.txt,    For the Office of the General Counsel,"    For the Office of the General Counsel, the Committee provides an appropriation of  an increase of  above the amount available in fiscal year  and a decrease of  below the budget request.  Office of the Under Secretary for Research, Education, and Economics    appropriation...................................."
19,108-584 H.txt,    For the Office of the Under Secretary for Research,"    For the Office of the Under Secretary for Research, Education, and Economics, the Committee provides an appropriation of  the same as the amount available for fiscal year  and a decrease of  below the budget request.    Proposed project terminations.--Research budgets submitted by the Department reflect a continuing disregard for Congressional program priorities. The Committee has made it clear on a number of occasions that the role of Congress in identifying essential agricultural needs of this Nation will be maintained. Agricultural research projects of regional and national priority will be funded. There has been no adequate justification presented to the Committee to support proposed project terminations. The Committee urges the Under Secretary to end the recycling of proposed terminations which have already been rejected by the Congress. Should similar proposals be submitted again in the budget for fiscal year , the Committee will expect the Under Secretary to explain and defend each proposed termination in detail during the fiscal year  hearings."
20,108-584 H.txt,    For the Economic Research Service,"    For the Economic Research Service, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committee recommendation includes an increase of  of the amount requested for a Consumer Data and Information System to develop an integrated and comprehensive data and analysis framework of the food system beyond the farm-gate to provide a basis for understanding, monitoring, tracking, and identifying changes in food supply and consumption patterns.    The Committee recommendation also includes an increase of  for a comprehensive study of WIC-only stores, WIC program vendors that solely or primarily market supplemental WIC foods to WIC program participants, compared to other WIC program vendors. This study is a continuation of the current review the Economic Research Service is undertaking on WIC-only stores and should be expanded to include the impact of WIC-only stores on State agency food costs, the policies currently used to regulate store authorization and food prices, the benefits derived by participants and the State agency, the impact if WIC-only stores are made to compete with other peer groups, and the impact of WIC-only stores on infant formula rebates. The Committee expects the Department to submit an interim report to the Committee by April , .    The Committee provides  the same as the fiscal year  level, for the continuation of their organic data surveys, the compilation of non-survey data on organic production and marketing, its merger and reconciliation with any new survey information, analysis that reveal patterns, similarities and differences from comparisons among organic, other differentiated markets, and bulk or homogeneous product markets, and the development of policy-relevant findings from a full portfolio of data and information."
21,108-584 H.txt,    For the National Agricultural Statistics Service,"    For the National Agricultural Statistics Service, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    Included in this amount is  for the Census of Agriculture, a decrease of  below the amount available for fiscal year  and the same amount as the budget request. The Census of Agriculture collects and provides comprehensive data on all aspects of the agricultural economy. Also, included in this amount is  for the Agricultural Estimates, an increase of  above the amount available in fiscal year  and a decrease of  below the budget request.    Within the increase provided for Agricultural estimates, the Committee recommendation includes an increase of  of the amount requested for continuation of the Agricultural Estimates Restoration and Modernization project to provide timely, accurate, and useful agricultural statistics.    The Committee encourages the National Agricultural Statistics Service to develop an organic data survey process based on the  Census of Agriculture."
